epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,2012.9,0.72704,0.54501,1.0948,0.93505,0.89537,0.90085,0.73224,0.68962,0.49192,1.07296,0.000320327,0.000320327,0.000320327
107,2032.17,0.73881,0.56168,1.12524,0.93145,0.89737,0.89612,0.72151,0.7398,0.47526,1.10281,0.000317025,0.000317025,0.000317025
108,2051.12,0.72608,0.54212,1.11242,0.93757,0.88693,0.91332,0.72276,0.74045,0.46355,1.10093,0.000313723,0.000313723,0.000313723
109,2069.99,0.76993,0.58309,1.14169,0.94332,0.8812,0.90059,0.7263,0.74345,0.51302,1.10925,0.000310422,0.000310422,0.000310422
110,2089.41,0.76708,0.54139,1.13452,0.94748,0.88569,0.89009,0.72836,0.70878,0.46972,1.0742,0.00030712,0.00030712,0.00030712
111,2108.11,0.72403,0.5444,1.07822,0.95343,0.89312,0.89362,0.72646,0.69497,0.47372,1.06905,0.000303818,0.000303818,0.000303818
112,2127.54,0.74344,0.56553,1.13113,0.928,0.89342,0.93356,0.73797,0.70935,0.48222,1.0839,0.000300517,0.000300517,0.000300517
113,2146.02,0.7144,0.54605,1.0826,0.78479,0.98503,0.92516,0.74264,0.66885,0.45037,1.05498,0.000297215,0.000297215,0.000297215
114,2165.08,0.76842,0.54374,1.12831,0.93909,0.89738,0.91707,0.73297,0.71983,0.4665,1.08183,0.000293914,0.000293914,0.000293914
115,2183.48,0.74752,0.54274,1.10991,0.94596,0.88531,0.90055,0.73756,0.69203,0.46352,1.0586,0.000290612,0.000290612,0.000290612
116,2202.57,0.72949,0.52789,1.124,0.9502,0.89415,0.92125,0.74668,0.6717,0.46244,1.0511,0.00028731,0.00028731,0.00028731
117,2221.34,0.7095,0.51735,1.09059,0.9372,0.89729,0.9219,0.74403,0.70947,0.45709,1.06942,0.000284009,0.000284009,0.000284009
118,2239.61,0.7197,0.52974,1.1092,0.95726,0.89152,0.89074,0.69557,0.73868,0.46057,1.10344,0.000280707,0.000280707,0.000280707
119,2259.04,0.71815,0.52147,1.08973,0.9397,0.88081,0.90279,0.73106,0.73253,0.48345,1.07864,0.000277405,0.000277405,0.000277405
120,2277.66,0.72341,0.54984,1.09491,0.94107,0.87534,0.89347,0.73368,0.69526,0.46965,1.06587,0.000274104,0.000274104,0.000274104
121,2296.82,0.71479,0.51382,1.08414,0.93112,0.89676,0.90898,0.74892,0.67972,0.45287,1.05899,0.000270802,0.000270802,0.000270802
122,2315.54,0.69648,0.52093,1.08999,0.92695,0.89899,0.92918,0.7472,0.71027,0.47853,1.06498,0.0002675,0.0002675,0.0002675
123,2335,0.70255,0.53993,1.08019,0.91661,0.89684,0.9191,0.73589,0.69041,0.4392,1.05779,0.000264199,0.000264199,0.000264199
124,2353.46,0.70766,0.52277,1.08419,0.92991,0.89076,0.90905,0.71079,0.73183,0.45431,1.08934,0.000260897,0.000260897,0.000260897
125,2373.35,0.67741,0.49708,1.04584,0.93099,0.89134,0.90199,0.73766,0.68107,0.44208,1.05341,0.000257595,0.000257595,0.000257595
126,2391.94,0.69458,0.50112,1.09485,0.93946,0.89564,0.91235,0.76667,0.63175,0.43063,1.04193,0.000254294,0.000254294,0.000254294
127,2410.73,0.69253,0.50105,1.08999,0.92493,0.89199,0.89195,0.74166,0.66179,0.46288,1.05835,0.000250992,0.000250992,0.000250992
128,2429.81,0.69997,0.50883,1.09033,0.91954,0.88989,0.88538,0.71474,0.68945,0.45089,1.06347,0.00024769,0.00024769,0.00024769
129,2448.46,0.72151,0.52742,1.11985,0.95515,0.89787,0.90137,0.74147,0.66936,0.44289,1.04866,0.000244389,0.000244389,0.000244389
130,2467.63,0.65381,0.48989,1.03946,0.94888,0.88408,0.91414,0.75938,0.63003,0.42652,1.02968,0.000241087,0.000241087,0.000241087
131,2486.12,0.71531,0.50915,1.09288,0.94075,0.89179,0.89867,0.73271,0.65124,0.43876,1.04558,0.000237785,0.000237785,0.000237785
132,2505.5,0.69405,0.4952,1.07144,0.95366,0.88738,0.98389,0.78079,0.6318,0.42828,1.02913,0.000234484,0.000234484,0.000234484
133,2523.96,0.69339,0.50199,1.08112,0.94375,0.89071,0.91716,0.76912,0.63524,0.41747,1.03256,0.000231182,0.000231182,0.000231182
134,2542.93,0.67936,0.49009,1.06559,0.94665,0.89818,0.9187,0.76145,0.6451,0.42121,1.02061,0.000227881,0.000227881,0.000227881
135,2561.72,0.67193,0.49768,1.07559,0.94889,0.89157,0.89992,0.73734,0.65536,0.4078,1.03438,0.000224579,0.000224579,0.000224579
136,2580.14,0.66954,0.473,1.06866,0.94887,0.89704,0.89301,0.73197,0.64313,0.41302,1.03525,0.000221277,0.000221277,0.000221277
137,2599.34,0.67862,0.49138,1.07515,0.95196,0.89604,0.92363,0.75504,0.65429,0.4387,1.03279,0.000217976,0.000217976,0.000217976
138,2617.81,0.72903,0.51638,1.11284,0.94207,0.89649,0.96272,0.78841,0.66658,0.40716,1.03345,0.000214674,0.000214674,0.000214674
139,2636.85,0.6749,0.49164,1.06005,0.94762,0.88475,0.89275,0.73137,0.70064,0.43307,1.05981,0.000211372,0.000211372,0.000211372
